# GENERATED by build/derive-ipa.py --enc 101 --syllables 0 (CMUdict, General American).
# grapheme = euspelling; ipa = headword pronunciation; gloss = headword.
grapheme,ipa,gloss
abortiv,əˈbɔɹtɪv,abortive
abov,əˈbʌv,above
abovboard,əˈbʌvˌbɔɹd,aboveboard
abrasiv,əˈbɹeɪsɪv,abrasive
abrasivs,əˈbɹeɪsɪvz,abrasives
abrest,əˈbɹɛst,abreast
abridgment,əˈbɹɪdʒmənt,abridgement
abrodd,əˈbɹɔd,abroad
absinth,ˈæbsɪnθ,absinthe
absolv,əbˈzɑlv,absolve
absolvd,əbˈzɑlvd,absolved
abusiv,əˈbjuːsɪv,abusive
abuzed,əˈbjuːzd,abused
abuzer,əˈbjuːzɚ,abuser
abuzers,əˈbjuːzɚz,abusers
abuzing,əˈbjuːzɪŋ,abusing
accommodativ,əˈkɑməˌdeɪtɪv,accommodative
accooterment,əˈkuːtɚmənt,accoutrement
accooterments,əˈkuːtɚmənts,accoutrements
accumulativ,əˈkjuːmjəˌleɪtɪv,accumulative
accumulativly,əˈkjuːmjəˌleɪtɪvliː,accumulatively
accurat,ˈækjɚət,accurate
accuratly,ˈækjɚətliː,accurately
accusativ,əˈkjuːzətɪv,accusative
acknoledge,ækˈnɑlɪdʒ,acknowledge
acknoledged,ækˈnɑlɪdʒd,acknowledged
acknoledging,ækˈnɑlɪdʒɪŋ,acknowledging
acknoledgment,ækˈnɑlɪdʒmənt,acknowledgment
acknoledgments,ækˈnɑlɪdʒmənts,acknowledgements
acoostic,əˈkuːstɪk,acoustic
acoostical,əˈkuːstɪkəl,acoustical
acoostically,əˈkuːstɪkliː,acoustically
acoostics,əˈkuːstɪks,acoustics
acquisitiv,əˈkwɪzətɪv,acquisitive
activ,ˈæktɪv,active
activly,ˈæktɪvliː,actively
adaptiv,əˈdæptɪv,adaptive
addictiv,əˈdɪktɪv,addictive
additiv,ˈædətɪv,additive
additivs,ˈædətɪvz,additives
adequat,ˈædəkwət,adequate
adequatly,ˈædəkwətliː,adequately
adhesiv,ædˈhiːsɪv,adhesive
adhesivs,ædˈhiːsɪvz,adhesives
adjectiv,ˈædʒɪktɪv,adjective
adjectivs,ˈædʒɪktɪvz,adjectives
adjurn,əˈdʒɝn,adjourn
adjurning,əˈdʒɝnɪŋ,adjourning
adjurnment,əˈdʒɝnmənt,adjournment
administrativ,ədˈmɪnəˌstɹeɪtɪv,administrative
administrativly,ædˌmɪnəˈstɹeɪtɪvliː,administratively
adoptiv,əˈdɑptɪv,adoptive
adu,əˈduː,ado
adventuresom,ædˈvɛntʃɚsəm,adventuresome
affectionat,əˈfɛkʃənət,affectionate
affectionatly,əˈfɛkʃənətliː,affectionately
affectiv,əˈfɛktɪv,affective
